no,title,rating,genre,date_published,duration
116,L.A. Confidential,8.2,Crime,1997-09-19,138
117,Die Hard,8.2,Action,1988-07-20,132
118,Indiana Jones and the Last Crusade,8.2,Action,1989-05-24,127
119,Taxi Driver,8.2,Crime,1976-02-09,114
120,Snatch,8.2,Comedy,2001-01-19,102
121,Bicycle Thieves,8.2,Drama,1949-12-13,89
122,Like Stars on Earth,8.2,Drama,2007-12-21,165
123,1917,8.2,Action,2020-01-10,119
124,Dangal,8.2,Action,2016-12-21,161
125,Downfall,8.2,Biography,2005-04-08,156
126,Top Gun: Maverick,8.2,Action,2022-05-27,130
127,For a Few Dollars More,8.2,Drama,1967-05-10,132
128,Batman Begins,8.2,Action,2005-06-15,140
129,The Kid,8.2,Comedy,1921-02-06,68
130,Some Like It Hot,8.2,Comedy,1959-03-19,121
131,The Father,8.2,Drama,2021-02-26,97
132,All About Eve,8.2,Drama,1950-10-27,138
134,Green Book,8.2,Biography,2018-11-16,130
135,Judgment at Nuremberg,8.2,Drama,1961-12-18,179
136,The Truman Show,8.2,Comedy,1998-06-05,103
137,Ran,8.2,Action,1985-06-01,162
138,Casino,8.2,Crime,1995-11-22,178
139,There Will Be Blood,8.2,Drama,2008-01-25,158
140,Pan's Labyrinth,8.2,Drama,2007-01-19,118
141,Unforgiven,8.2,Drama,1992-08-07,130
142,Shutter Island,8.2,Mystery,2010-02-19,138
143,The Sixth Sense,8.2,Drama,1999-08-06,107
144,Jurassic Park,8.2,Action,1993-06-11,127
145,A Beautiful Mind,8.2,Biography,2002-01-04,135
146,Yojimbo,8.1,Action,1961-09-13,110
147,The Treasure of the Sierra Madre,8.1,Adventure,1948-01-24,126
148,Monty Python and the Holy Grail,8.1,Adventure,1975-05-25,91
149,No Country for Old Men,8.1,Crime,2007-11-21,122
150,Kill Bill: Vol. 1,8.1,Action,2003-10-10,111
151,The Great Escape,8.1,Adventure,1963-07-04,172
152,Rashomon,8.1,Crime,1951-12-26,88
153,The Thing,8.1,Horror,1982-06-25,109
154,Finding Nemo,8.1,Animation,2003-05-30,100
155,Spider-Man: No Way Home,8.1,Action,2021-12-17,148
156,The Elephant Man,8.1,Biography,1980-10-10,124
157,Chinatown,8.1,Drama,1974-06-20,130
158,Raging Bull,8.1,Biography,1980-12-19,129
159,V for Vendetta,8.1,Action,2006-03-17,132
160,Gone with the Wind,8.1,Drama,1940-01-17,238
161,Guardians of the Galaxy Vol. 3,8.1,Action,2023-05-05,150
162,Dial M for Murder,8.1,Crime,1954-05-29,105
163,Inside Out,8.1,Animation,2015-06-19,95
164,"Lock, Stock and Two Smoking Barrels",8.1,Action,1998-08-28,107
165,Howl's Moving Castle,8.1,Animation,2005-06-17,119
166,The Secret in Their Eyes,8.1,Drama,2010-05-21,129
167,"Three Billboards Outside Ebbing, Missouri",8.1,Comedy,2017-12-01,115
168,Prisoners,8.1,Crime,2013-09-20,153
169,Trainspotting,8.1,Drama,1996-08-09,93
170,The Bridge on the River Kwai,8.1,Adventure,1957-12-14,161
171,Fargo,8.1,Crime,1996-04-05,98
172,Warrior,8.1,Action,2011-09-09,140
173,Gran Torino,8.1,Drama,2009-01-09,116
174,Catch Me If You Can,8.1,Biography,2002-12-25,141
175,My Neighbor Totoro,8.1,Animation,1990-07-13,86
176,Million Dollar Baby,8.1,Drama,2005-01-28,132
177,Children of Heaven,8.1,Drama,1999-01-22,89
178,The Gold Rush,8.1,Adventure,1925-07-13,95
179,Blade Runner,8.1,Action,1982-06-25,117
180,Klaus,8.1,Animation,2019-11-15,96
181,Harry Potter and the Deathly Hallows: Part 2,8.1,Adventure,2011-07-15,130
182,12 Years a Slave,8.1,Biography,2013-11-08,134
183,Before Sunrise,8.1,Drama,1995-01-27,101
184,The Grand Budapest Hotel,8.1,Adventure,2014-03-28,99
185,Ben-Hur,8.1,Adventure,1959-11-18,212
186,On the Waterfront,8.1,Crime,1954-06-22,108
187,Gone Girl,8.1,Drama,2014-10-03,149
188,The General,8.1,Action,1927-01-02,67
